Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;PROC;SETUP
165;J1;4;0;0;0;0;0;0;0;0;0;7;101
165;J2;1;3;10;5;8;3;7;10;9;10;6;49
165;J3;0;0;0;6;9;7;10;9;5;9;10;67
165;J4;10;8;8;7;5;9;10;1;1;0;10;87
165;J5;0;0;0;4;1;8;5;4;5;4;7;145
165;J6;6;4;5;8;0;0;0;0;0;0;8;149
165;J7;0;0;1;5;7;2;10;7;8;6;1;35
165;J8;5;4;0;0;0;0;0;0;0;0;2;82
165;J9;10;1;9;3;2;4;9;3;0;0;8;2
165;J10;0;2;5;6;3;2;2;4;8;8;7;15
165;J11;6;7;1;1;10;9;1;10;8;6;7;50
165;J12;8;0;0;0;0;0;0;0;0;0;4;192
165;J13;0;0;0;0;0;0;0;0;4;6;8;144
165;J14;8;3;9;7;4;6;10;2;6;0;4;32
165;J15;0;0;0;4;7;8;6;1;3;5;9;1

