Exp;Job;O1;02;03;04;05;O6;07;08;09;010;PROC;SETUP
169;J1;2;9;0;0;0;0;0;0;0;0;9;34
169;J2;6;9;9;9;3;2;10;3;1;7;2;37
169;J3;0;0;0;0;1;5;8;10;3;10;8;57
169;J4;10;7;3;10;4;5;6;5;0;0;1;15
169;J5;0;0;10;9;3;5;3;5;3;6;4;69
169;J6;8;9;0;0;0;0;0;0;0;0;8;95
169;J7;0;0;0;0;5;4;4;2;3;7;4;11
169;J8;9;2;6;0;0;0;0;0;0;0;5;71
169;J9;0;0;0;0;0;0;0;0;0;3;10;7
169;J10;4;1;6;2;5;3;9;0;0;0;9;82
169;J11;0;0;7;5;6;1;3;4;2;7;7;87
169;J12;2;9;6;4;6;6;6;5;6;4;5;17
169;J13;6;9;2;4;10;5;4;0;0;0;3;38
169;J14;0;0;0;0;0;0;0;6;5;7;1;47
169;J15;0;0;0;7;6;2;0;0;0;0;1;50

