Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;PROC;SETUP
295;J1;1;1;8;3;3;4;6;5;6;0;0;0;10;0;0;1;110
295;J2;0;1;6;0;2;0;5;0;0;0;0;5;9;6;0;2;57
295;J3;7;10;1;8;10;8;10;8;8;10;5;0;0;0;0;6;1
295;J4;3;1;4;0;0;0;0;0;9;8;0;0;7;0;6;3;13
295;J5;0;0;0;4;0;0;1;0;0;0;0;5;0;0;0;1;136
295;J6;3;0;2;4;0;8;4;2;8;10;6;5;3;10;6;8;76
295;J7;0;4;0;6;0;0;0;0;0;0;0;1;8;10;6;3;80
295;J8;4;0;0;0;0;0;0;0;2;1;0;0;0;0;0;10;37
295;J9;0;0;3;1;6;0;0;0;0;0;0;0;0;0;6;5;88
295;J10;0;8;0;4;0;2;3;6;5;4;7;3;6;5;0;8;35
295;J11;0;4;0;2;0;0;0;0;6;0;3;2;4;7;8;7;93
295;J12;4;7;2;5;0;0;3;8;0;0;0;0;7;9;0;6;110
295;J13;0;0;0;0;7;6;1;0;0;0;0;0;9;0;0;1;26
295;J14;0;0;0;0;0;0;0;0;0;5;0;8;0;0;10;9;65
295;J15;4;0;0;2;5;0;0;0;0;0;4;10;0;8;4;3;111
295;J16;1;1;8;3;3;4;6;5;6;0;0;0;10;0;0;1;110
295;J17;0;1;6;0;2;0;5;0;0;0;0;5;9;6;0;2;57
295;J18;7;10;1;8;10;8;10;8;8;10;5;0;0;0;0;6;1
295;J19;3;1;4;0;0;0;0;0;9;8;0;0;7;0;6;3;13
295;J20;0;0;0;4;0;0;1;0;0;0;0;5;0;0;0;1;136

