Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;PROC;SETUP
298;J1;2;6;3;5;7;0;0;8;0;0;7;0;0;0;0;3;76
298;J2;1;2;1;2;1;7;8;0;0;0;0;4;0;0;0;10;144
298;J3;0;6;0;0;0;0;2;5;1;3;3;6;2;7;10;3;128
298;J4;0;0;3;0;0;0;0;8;6;0;0;8;7;1;9;3;3
298;J5;4;1;6;0;0;0;0;0;0;0;5;6;8;6;4;10;87
298;J6;0;2;8;2;0;0;0;0;9;10;1;2;5;8;7;4;90
298;J7;5;0;0;0;0;5;1;3;1;10;6;1;4;8;0;8;106
298;J8;2;0;5;2;9;0;0;0;0;0;0;0;0;1;0;3;138
298;J9;2;9;0;0;8;3;0;0;0;0;4;0;0;0;0;7;97
298;J10;0;6;0;4;0;1;6;4;1;9;4;0;0;0;0;7;21
298;J11;0;0;7;0;10;5;1;8;0;0;0;0;6;8;0;7;78
298;J12;3;6;0;0;0;0;0;0;7;8;0;8;10;6;0;6;29
298;J13;0;4;8;0;0;0;3;0;5;2;8;0;0;0;0;9;140
298;J14;7;8;10;0;0;0;0;6;5;0;2;8;4;9;0;9;48
298;J15;8;0;7;2;0;9;4;0;0;7;7;10;7;5;4;4;179
298;J16;2;6;3;5;7;0;0;8;0;0;7;0;0;0;0;3;76
298;J17;1;2;1;2;1;7;8;0;0;0;0;4;0;0;0;10;144
298;J18;0;6;0;0;0;0;2;5;1;3;3;6;2;7;10;3;128
298;J19;0;0;3;0;0;0;0;8;6;0;0;8;7;1;9;3;3
298;J20;4;1;6;0;0;0;0;0;0;0;5;6;8;6;4;10;87

