Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
366;J1;3;7;4;3;4;0;0;8;0;3;7;9;8;2;5;0;0;7;4;6;10;108
366;J2;5;4;10;8;1;0;0;0;0;0;3;4;7;3;5;5;0;0;4;3;5;123
366;J3;0;0;0;0;0;3;0;0;0;0;0;0;4;5;0;0;1;4;3;2;9;49
366;J4;0;0;0;0;0;0;3;0;0;0;0;9;0;0;0;9;5;6;5;7;8;25
366;J5;9;6;5;9;3;6;10;7;0;0;1;8;0;8;9;6;8;5;9;0;3;115
366;J6;2;0;0;0;0;0;0;0;0;9;5;9;6;2;2;0;3;0;0;0;1;181
366;J7;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;6;9;1;0;5;4;50
366;J8;2;7;10;2;2;0;1;0;0;0;0;0;0;0;0;4;10;7;8;0;6;180
366;J9;2;2;6;3;9;3;5;0;4;6;0;0;0;0;0;10;2;0;9;7;8;13
366;J10;0;4;1;4;3;2;3;4;0;6;0;0;0;5;7;0;2;0;7;3;10;41
366;J11;0;0;9;10;0;0;0;0;0;0;0;6;10;0;0;9;8;8;2;10;1;89
366;J12;2;0;0;0;0;0;0;0;0;0;3;4;10;2;8;8;0;0;2;4;5;73
366;J13;4;5;9;3;0;0;0;0;1;4;0;0;0;9;5;1;3;4;2;2;10;2
366;J14;0;0;0;3;4;5;2;0;0;0;9;8;8;4;7;0;0;0;1;2;4;38
366;J15;0;0;0;0;0;0;0;3;0;0;4;0;0;0;0;3;7;0;0;0;3;68

