Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
386;J1;3;8;0;0;5;9;2;0;0;4;8;4;10;1;4;0;8;6;4;2;10;8
386;J2;7;1;3;5;6;0;0;10;8;0;8;8;10;10;8;6;5;6;5;0;1;29
386;J3;0;0;5;4;0;0;0;0;0;0;0;0;8;5;10;2;0;0;0;0;7;32
386;J4;0;0;0;6;3;8;0;7;0;0;10;1;0;0;0;0;3;6;2;0;8;42
386;J5;9;7;2;3;0;0;0;0;8;4;0;1;10;4;6;4;8;6;10;7;9;6
386;J6;4;1;2;8;0;6;5;10;8;2;8;5;0;0;0;0;0;2;3;0;3;1
386;J7;6;0;2;0;1;6;6;10;1;10;4;10;2;4;9;0;0;0;0;4;2;18
386;J8;3;4;3;0;0;0;0;0;0;0;2;1;0;0;4;4;0;2;8;0;2;44
386;J9;8;5;10;5;7;7;5;2;4;7;6;2;0;0;0;4;3;1;7;9;9;5
386;J10;5;1;1;1;2;3;7;9;9;6;7;9;2;2;5;0;7;6;8;5;5;3
386;J11;0;4;0;0;1;3;0;0;0;0;0;0;8;7;4;1;3;8;0;5;2;36
386;J12;6;5;3;0;0;0;4;0;0;0;1;8;9;9;6;2;4;3;2;10;5;4
386;J13;5;1;10;0;0;7;8;3;0;9;6;3;0;0;0;0;0;0;0;3;3;43
386;J14;0;0;0;7;0;0;0;0;0;0;0;3;0;2;0;0;8;3;0;7;6;3
386;J15;0;0;0;0;5;2;0;0;4;3;0;0;5;7;10;2;0;0;0;0;10;39
386;J16;3;8;0;0;5;9;2;0;0;4;8;4;10;1;4;1;0;0;5;0;10;8
386;J17;7;1;3;5;6;0;0;10;8;0;8;8;10;10;8;0;4;0;5;3;1;29
386;J18;0;0;5;4;0;0;0;0;0;0;0;0;8;5;10;0;0;4;6;0;7;32
386;J19;0;0;0;6;3;8;0;7;0;0;10;1;0;0;0;0;1;0;4;0;8;42
386;J20;9;7;2;3;0;0;0;0;8;4;0;1;10;4;6;0;5;1;4;0;9;6

