Exp;Job;O1;O2;O3;O4;O5;PROC;SETUP
100;J1;0;0;4;1;3;6;48
100;J2;5;9;7;0;0;9;23
100;J3;10;6;4;6;0;4;26
100;J4;3;2;0;1;8;1;15
100;J5;10;5;4;10;4;6;15
100;J6;9;10;5;6;7;7;10
100;J7;0;4;0;0;0;5;3
100;J8;0;0;0;8;0;10;25
100;J9;4;6;9;7;2;5;45
100;J10;0;3;0;5;0;3;3
100;J11;0;1;3;0;0;4;23
100;J12;0;6;1;0;5;8;2
100;J13;2;9;8;0;5;8;47
100;J14;0;8;10;4;9;9;26
100;J15;0;0;6;7;1;2;32
100;J16;0;5;0;0;0;8;4
100;J17;6;7;0;9;8;1;13
100;J18;4;5;0;1;0;5;34
100;J19;0;3;7;7;2;4;24
100;J20;4;10;5;0;1;7;12

